iter	Logloss
0	0.6548001254
1	0.6262877176
2	0.6025344656
3	0.5829156269
4	0.5639247005
5	0.5497162465
6	0.5328564246
7	0.5224737111
8	0.5148298579
9	0.5096386526
10	0.5037396675
11	0.4973022889
12	0.4858480334
13	0.4804298306
14	0.4748810263
15	0.4679799288
16	0.4652804574
17	0.4635809819
18	0.4602851657
19	0.455783617
20	0.4534182725
21	0.4476402779
22	0.4441112304
23	0.4399873229
24	0.4347955416
25	0.4331451991
26	0.4322324775
27	0.4286493477
28	0.42488322
29	0.4232052503
30	0.420590146
31	0.4172407775
32	0.413538644
33	0.4114645218
34	0.4087687348
35	0.4074283137
36	0.4062144669
37	0.4032259072
38	0.4009326638
39	0.3981281662
40	0.3958649331
41	0.3923328062
42	0.3910139364
43	0.3887288499
44	0.3865327183
45	0.3861346148
46	0.3849962688
47	0.3837350555
48	0.38021251
49	0.380092844
50	0.3756159487
51	0.3724550392
52	0.3684191519
53	0.3658811517
54	0.3633801278
55	0.3611530457
56	0.3588927404
57	0.357822558
58	0.3558948506
59	0.355406173
60	0.3529957213
61	0.3506916898
62	0.3457930901
63	0.3419856141
64	0.3397191057
65	0.337206219
66	0.3362950102
67	0.3327757005
68	0.3317572653
69	0.3299704068
70	0.3278534075
71	0.3258021698
72	0.3246493216
73	0.323553282
74	0.3228122098
75	0.3222419119
76	0.3216528172
77	0.321032849
78	0.3200123857
79	0.3199290872
80	0.3190516899
81	0.3188504476
82	0.3187679029
83	0.3176598995
84	0.3174838635
85	0.3156249237
86	0.3122725892
87	0.3110216548
88	0.3084234917
89	0.3078718668
90	0.3066308117
91	0.3048568215
92	0.3046332181
93	0.3019100496
94	0.300855761
95	0.2983664774
96	0.2935423368
97	0.2907661517
98	0.2892973457
99	0.2886486447
