iter	Passed	Remaining
0	254	25158
1	321	15757
2	392	12683
3	496	11917
4	576	10954
5	659	10326
6	755	10042
7	811	9332
8	912	9227
9	940	8462
10	1093	8851
11	1163	8529
12	1261	8441
13	1323	8132
14	1432	8118
15	1507	7915
16	1627	7944
17	1745	7950
18	1867	7961
19	1960	7843
20	2018	7593
21	2119	7514
22	2265	7583
23	2391	7573
24	2479	7438
25	2596	7391
26	2700	7300
27	2815	7239
28	2869	7026
29	2999	6998
30	3078	6852
31	3209	6820
32	3360	6822
33	3443	6684
34	3596	6678
35	3671	6527
36	3762	6405
37	3853	6287
38	3942	6166
39	4110	6165
40	4210	6058
41	4365	6028
42	4456	5907
43	4536	5774
44	4645	5677
45	4771	5601
46	4895	5519
47	4971	5385
48	5054	5260
49	5091	5091
50	5224	5019
51	5329	4919
52	5444	4828
53	5610	4779
54	5738	4694
55	5810	4565
56	5870	4428
57	5939	4301
58	6057	4209
59	6155	4103
60	6372	4074
61	6498	3982
62	6648	3904
63	6772	3809
64	6870	3699
65	6951	3581
66	7036	3465
67	7179	3378
68	7297	3278
69	7471	3202
70	7617	3111
71	7696	2992
72	7864	2908
73	8035	2823
74	8185	2728
75	8322	2628
76	8499	2538
77	8565	2415
78	8714	2316
79	8797	2199
80	8875	2081
81	8948	1964
82	8997	1842
83	9078	1729
84	9153	1615
85	9246	1505
86	9382	1402
87	9486	1293
88	9607	1187
89	9685	1076
90	9801	969
91	9918	862
92	10030	755
93	10178	649
94	10297	541
95	10413	433
96	10484	324
97	10572	215
98	10657	107
99	10717	0
