id,surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion
0.0,no,adult,38.5,96.0,36.0,cool,reduced,None,more_3_sec,depressed,absent,slight,none,less_1_liter,4.5,absent,distend_large,70.0,8.5,None,3.0,yes
500.0,no,adult,39.0,56.0,40.0,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,none,7.0,absent,distend_large,44.0,7.5,clear,2.5,no
991.0,yes,adult,38.2,76.0,20.0,warm,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,4.0,absent,distend_small,35.0,4.3,serosanguious,4.8,yes
0.0,yes,adult,37.3,40.0,28.0,None,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,significant,none,4.5,decreased,distend_large,36.0,7.5,serosanguious,2.0,yes
1214.0,yes,adult,38.1,60.0,18.0,None,None,None,None,depressed,None,None,None,more_1_liter,1.0,None,None,43.0,58.0,cloudy,1.0,yes
75.0,yes,adult,38.2,66.0,16.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,none,3.0,absent,distend_large,36.0,6.6,serosanguious,3.4,yes
986.0,yes,adult,39.7,84.0,40.0,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,severe,none,less_1_liter,2.0,absent,distend_large,75.0,81.0,clear,2.0,no
0.0,yes,adult,38.3,40.0,16.0,cool,None,None,less_3_sec,alert,hypomotile,slight,None,None,4.5,None,None,38.0,58.0,clear,2.0,yes
1008.0,yes,adult,39.2,100.0,51.0,cool,absent,bright_red,more_3_sec,depressed,absent,none,None,less_1_liter,2.0,absent,distend_small,66.0,13.0,serosanguious,2.0,yes
510.0,yes,adult,38.3,52.0,24.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,none,more_1_liter,7.0,decreased,distend_small,45.0,7.5,clear,1.3,yes
933.0,yes,adult,40.3,114.0,36.0,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.0,None,distend_small,57.0,8.0,serosanguious,4.5,yes
444.0,yes,adult,37.1,75.0,36.0,None,None,dark_cyanotic,more_3_sec,severe_pain,absent,slight,none,more_1_liter,5.0,absent,distend_small,48.0,7.5,serosanguious,3.4,yes
997.0,no,adult,38.1,60.0,42.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,less_1_liter,2.0,None,other,37.0,67.0,clear,1.0,no
378.0,yes,adult,38.2,52.0,20.0,cool,normal,bright_red,less_3_sec,alert,normal,none,none,more_1_liter,5.0,normal,distend_large,28.0,7.7,cloudy,4.3,yes
11.0,yes,adult,39.3,84.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,2.0,absent,distend_large,65.0,8.0,clear,2.0,yes
315.0,yes,adult,37.8,60.0,30.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,slight,slight,none,2.0,absent,None,46.0,81.0,None,2.0,yes
207.0,yes,adult,38.0,88.0,51.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,less_1_liter,2.0,absent,distend_large,66.0,13.0,serosanguious,2.0,yes
819.0,no,adult,37.7,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,less_1_liter,5.0,normal,normal,49.0,8.0,clear,7.0,no
152.0,yes,adult,39.3,100.0,51.0,cool,absent,bright_red,more_3_sec,depressed,hypomotile,none,none,less_1_liter,2.0,None,distend_small,66.0,13.0,serosanguious,2.0,yes
1045.0,yes,adult,37.4,104.0,12.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,none,more_1_liter,4.0,absent,distend_small,75.0,8.8,serosanguious,4.3,yes
51.0,no,adult,37.6,108.0,96.0,cold,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,slight,more_1_liter,4.5,None,distend_small,52.0,6.1,cloudy,3.7,no
68.0,yes,adult,37.8,52.0,16.0,normal,reduced,normal_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,2.0,None,distend_small,46.0,81.0,clear,2.0,yes
1222.0,yes,adult,38.0,84.0,20.0,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,slight,less_1_liter,2.0,decreased,distend_large,45.0,7.2,cloudy,4.3,yes
749.0,yes,adult,39.6,66.0,14.0,cool,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4.0,absent,distend_small,44.0,6.5,cloudy,2.6,yes
128.0,yes,adult,37.4,52.0,12.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,6.5,absent,distend_small,43.0,7.4,serosanguious,2.6,no
59.0,no,adult,37.7,96.0,30.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,4.0,absent,distend_large,66.0,75.0,serosanguious,2.0,yes
1013.0,yes,adult,39.5,100.0,30.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,none,more_1_liter,6.5,absent,distend_small,47.0,3.5,serosanguious,3.4,yes
785.0,no,adult,38.7,54.0,12.0,cool,normal,pale_pink,less_3_sec,alert,normal,none,none,more_1_liter,5.0,normal,normal,37.0,56.0,cloudy,2.0,no
653.0,yes,adult,38.3,54.0,10.0,normal,increased,pale_pink,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,6.5,decreased,other,48.0,7.2,serosanguious,3.3,no
725.0,yes,adult,38.6,72.0,30.0,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,significant,none,4.5,None,None,45.0,6.2,cloudy,3.3,yes
261.0,yes,adult,38.1,92.0,36.0,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,slight,more_1_liter,6.5,decreased,distend_small,60.0,8.1,cloudy,2.6,yes
1158.0,no,adult,38.6,54.0,12.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,none,more_1_liter,5.0,normal,firm,49.0,8.1,clear,5.0,no
407.0,yes,adult,38.8,68.0,22.0,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,2.0,absent,distend_small,75.0,81.0,None,1.0,yes
486.0,yes,adult,37.7,66.0,12.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,4.0,decreased,distend_small,31.5,6.1,serosanguious,4.3,yes
1226.0,yes,young,36.1,60.0,20.0,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.0,decreased,distend_small,47.0,7.6,cloudy,3.0,yes
0.0,yes,young,38.8,184.0,84.0,normal,None,normal_pink,less_3_sec,severe_pain,hypermotile,moderate,None,None,4.5,increased,None,33.0,3.3,None,3.0,yes
23.0,yes,young,38.7,88.0,20.0,warm,normal,pale_cyanotic,less_3_sec,depressed,hypermotile,slight,significant,less_1_liter,7.0,increased,normal,34.0,6.1,cloudy,2.6,yes
818.0,yes,adult,36.5,60.0,32.0,normal,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,7.0,decreased,distend_small,54.0,7.5,serosanguious,3.4,yes
